,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match,contry
0,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0,New Zealand VS Pakistan,Pakistan
2,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0,New Zealand VS Pakistan,Pakistan
3,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0,New Zealand VS Pakistan,Pakistan
4,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0,New Zealand VS Pakistan,Pakistan
5,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,New Zealand VS Pakistan,Pakistan
6,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0,New Zealand VS Pakistan,Pakistan
0,Trent Boult,4,0,33,2,8.25,9,5,0,0,0,New Zealand VS Pakistan,New Zealand
2,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0,New Zealand VS Pakistan,New Zealand
3,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,New Zealand VS Pakistan,New Zealand
4,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0,New Zealand VS Pakistan,New Zealand
6,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0,New Zealand VS Pakistan,New Zealand
0,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,India VS England,England
1,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,India VS England,England
3,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,India VS England,England
4,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,India VS England,England
6,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,India VS England,England
7,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,India VS England,England
0,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,India VS England,India
1,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0,India VS England,India
2,Axar Patel,4,0,30,0,7.50,10,2,2,0,0,India VS England,India
3,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0,India VS England,India
4,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0,India VS England,India
5,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0,India VS England,India
0,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,Pakistan VS England,England
2,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,Pakistan VS England,England
3,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,Pakistan VS England,England
5,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,Pakistan VS England,England
7,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,Pakistan VS England,England
9,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,Pakistan VS England,England
0,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0,Pakistan VS England,Pakistan
2,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0,Pakistan VS England,Pakistan
3,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,Pakistan VS England,Pakistan
5,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0,Pakistan VS England,Pakistan
7,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0,Pakistan VS England,Pakistan
9,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0,Pakistan VS England,Pakistan
