,link,contry,battingStyle,bowlingStyle,playingRole
Nicholas Pooran(c)†,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shamarh Brooks,https://www.espncricinfo.com/cricketers/shamarh-brooks-230555,West Indies,Right hand Bat,Legbreak,Top order Batter
Rovman Powell,https://www.espncricinfo.com/cricketers/rovman-powell-820351,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
Josh Little,https://www.espncricinfo.com/cricketers/josh-little-928067,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Mark Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Barry McCarthy,https://www.espncricinfo.com/cricketers/barry-mccarthy-348059,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Curtis Campher,https://www.espncricinfo.com/cricketers/curtis-campher-595921,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
Simi Singh,https://www.espncricinfo.com/cricketers/simi-singh-1005257,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Gareth Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
Richard Ngarava,https://www.espncricinfo.com/cricketers/richard-ngarava-806241,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Tendai Chatara,https://www.espncricinfo.com/cricketers/tendai-chatara-425639,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Blessing Muzarabani,https://www.espncricinfo.com/cricketers/blessing-muzarabani-827051,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Luke Jongwe,https://www.espncricinfo.com/cricketers/luke-jongwe-541224,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Sean Williams,https://www.espncricinfo.com/cricketers/sean-williams-55870,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Sikandar Raza,https://www.espncricinfo.com/cricketers/sikandar-raza-299572,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder
Regis Chakabva†,https://www.espncricinfo.com/cricketers/regis-chakabva-293831,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Craig Ervine(c),https://www.espncricinfo.com/cricketers/craig-ervine-55412,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter
Wessly Madhevere,https://www.espncricinfo.com/cricketers/wessly-madhevere-938959,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Milton Shumba,https://www.espncricinfo.com/cricketers/milton-shumba-951781,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Ryan Burl,https://www.espncricinfo.com/cricketers/ryan-burl-495964,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter
Paul Stirling,https://www.espncricinfo.com/cricketers/paul-stirling-303427,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie(c),https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,Ireland,Right hand Bat,Right arm Offbreak,Batter
Lorcan Tucker†,https://www.espncricinfo.com/cricketers/lorcan-tucker-928057,Ireland,Right hand Bat,,Wicketkeeper Batter
Harry Tector,https://www.espncricinfo.com/cricketers/harry-tector-961407,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
George Dockrell,https://www.espncricinfo.com/cricketers/george-dockrell-348034,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Timm van der Gugten,https://www.espncricinfo.com/cricketers/timm-van-der-gugten-333782,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Aryan Lakra,https://www.espncricinfo.com/cricketers/aryan-lakra-1058989,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler
Charith Asalanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder
Johnson Charles,https://www.espncricinfo.com/cricketers/johnson-charles-333066,West Indies,Right hand Bat,,Wicketkeeper Batter
Tony Munyonga,https://www.espncricinfo.com/cricketers/tony-munyonga-1122853,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Lahiru Kumara,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375,Sri Lanka,Left hand Bat,Right arm Fast,Bowler
Binura Fernando,https://www.espncricinfo.com/cricketers/binura-fernando-629080,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
Ruben Trumpelmann,https://www.espncricinfo.com/cricketers/ruben-trumpelmann-698317,Namibia,Right hand Bat,Left arm Fast,Bowler
Ahmed Raza,https://www.espncricinfo.com/cricketers/ahmed-raza-245490,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowler
Alishan Sharafu,https://www.espncricinfo.com/cricketers/alishan-sharafu-1161038,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter
Zane Green†,https://www.espncricinfo.com/cricketers/zane-green-596664,Namibia,Left hand Bat,,Wicketkeeper Batter
Mitchell Starc,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,Australia,Left hand Bat,Left arm Fast,Bowler
Josh Hazlewood,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,Australia,Left hand Bat,Right arm Fast medium,Bowler
Pat Cummins,https://www.espncricinfo.com/cricketers/pat-cummins-489889,Australia,Right hand Bat,Right arm Fast,Bowler
Marcus Stoinis,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Adam Zampa,https://www.espncricinfo.com/cricketers/adam-zampa-379504,Australia,Right hand Bat,Legbreak Googly,Bowler
Trent Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,New Zealand,Right hand Bat,Left arm Fast medium,Bowler
Tim Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Mitchell Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Lockie Ferguson,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,New Zealand,Right hand Bat,Right arm Fast,Bowler
Ish Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,New Zealand,Right hand Bat,Legbreak,Bowler
Finn Allen,https://www.espncricinfo.com/cricketers/finn-allen-959759,New Zealand,Right hand Bat,,Top order Batter
Devon Conway†,https://www.espncricinfo.com/cricketers/devon-conway-379140,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson(c),https://www.espncricinfo.com/cricketers/kane-williamson-277906,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
James Neesham,https://www.espncricinfo.com/cricketers/james-neesham-355269,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
David Warner,https://www.espncricinfo.com/cricketers/david-warner-219889,Australia,Left hand Bat,Legbreak,Opening Batter
Aaron Finch(c),https://www.espncricinfo.com/cricketers/aaron-finch-5334,Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Mitchell Marsh,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,Australia,Right hand Bat,Right arm Medium,Allrounder
Glenn Maxwell,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tim David,https://www.espncricinfo.com/cricketers/tim-david-892749,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wade†,https://www.espncricinfo.com/cricketers/matthew-wade-230193,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Ben Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,England,Left hand Bat,Right arm Fast medium,Allrounder
Chris Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,England,Right hand Bat,Right arm Fast medium,Allrounder
Mark Wood,https://www.espncricinfo.com/cricketers/mark-wood-351588,England,Right hand Bat,Right arm Fast,Bowler
Sam Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,England,Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,England,Right hand Bat,Legbreak,Bowler
Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Azmatullah Omarzai,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Mujeeb Ur Rahman,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Fareed Ahmad,https://www.espncricinfo.com/cricketers/fareed-ahmad-568136,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler
Mohammad Nabi,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
